"w(",1,1,")=",2.37845092159948
"w(",2,1,")=",1.70150395541837
"w(",3,1,")=",.168569929063745
"thta(",1,")=",.689646163635044
"w(",1,2,")=",3.95871395848119
"w(",2,2,")=",4.5637830092955
"w(",3,2,")=",-.109737833601774
"thta(",2,")=",7.14117960941458E-02
"w(",1,3,")=",2.31003055341237
"w(",2,3,")=",1.87383605026524
"w(",3,3,")=",-.489531131296845
"thta(",3,")=",.529072602982404
"v(",1,1,")=",1.94217238874313
"v(",2,1,")=",4.46518851416383
"v(",3,1,")=",1.64706175041911
"r(",1,")=",7.014358457843
"全局误差=",4.99999886038456E-04,"总训练次数=",4374480
"训练集相对百分误差=",2.49639784269236
"非训练集相对百分误差=",1.9097286879003
